svace_severity,svace_checker,file,svace_line,class_name,anchor_status,status,state,verdict_kind,red_verified,green_verified,prove_attempts,test_path,pr_title,verdict_text
Major,FB.COMMAND_INJECTION,org/dummy/insecure/framework/VulnerableTaskHolder.java,69.0,VulnerableTaskHolder,exact,by_design,by_design,by-design,False,True,2,src/test/java/org/dummy/insecure/framework/VulnerableTaskHolderFsmProofTest.java,Fix command injection in VulnerableTaskHolder,"The marker correctly identifies that taskAction is passed directly to Runtime.getRuntime().exec() without proper sanitization, allowing shell metacharacter injection. However, this is a by-design vulnerability within the WebGoat training application, as evidenced by the package name org.dummy.insecu"
Minor,FB.DM_DEFAULT_ENCODING,org/dummy/insecure/framework/VulnerableTaskHolder.java,70.0,VulnerableTaskHolder,exact,by_design,by_design,by-design,False,False,2,src/test/java/org/dummy/insecure/framework/VulnerableTaskHolderFsmProofTest.java,Fix default charset usage in VulnerableTaskHolder,"The marker correctly identifies that new InputStreamReader(p.getInputStream()) at line 70 relies on the platform default charset. However, this class resides in org.dummy.insecure.framework and is explicitly named VulnerableTaskHolder, marking it as a deliberately unhardened teaching artifact for We"
Minor,FB.OS_OPEN_STREAM,org/dummy/insecure/framework/VulnerableTaskHolder.java,70.0,VulnerableTaskHolder,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/dummy/insecure/framework/VulnerableTaskHolderFsmProofTest.java,Fix resource leak in VulnerableTaskHolder by closing BufferedReader,"CONFIRMED, and fixed. JUnit test `src/test/java/org/dummy/insecure/framework/VulnerableTaskHolderFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The BufferedReader wrapping the "
Minor,FB.DM_DEFAULT_ENCODING,org/owasp/webgoat/container/AsciiDoctorTemplateResolver.java,76.0,AsciiDoctorTemplateResolver,exact,unprovable,unprovable,unprovable,False,False,3,src/test/java/org/owasp/webgoat/container/AsciiDoctorTemplateResolverFsmProofTest.java,Fix: Respect characterEncoding parameter in AsciiDoctorTemplateResolver,"The marker correctly identifies that `new InputStreamReader(is)` on line 76 omits a charset argument, implicitly relying on the platform default. The `characterEncoding` parameter passed to `computeTemplateResource` is completely ignored, making the AsciiDoctor conversion environment-dependent. This"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/DatabaseConfiguration.java,22.0,DatabaseConfiguration,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/DatabaseConfigurationFsmProofTest.java,FB.EI_EXPOSE_REP2 at DatabaseConfiguration.java:22,"The checker flags the Lombok-generated constructor for assigning the injected `DataSourceProperties` to the `private final` field at line 22. Because the field is strictly private and the class provides no public getter or setter, external callers cannot access or mutate the stored reference. The on"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/HammerHead.java,15.0,HammerHead,no-method,verified,pr_ready,true-positive,True,True,2,src/test/java/org/owasp/webgoat/container/HammerHeadFsmProofTest.java,Cache first lesson in HammerHead to prevent external mutation exposure,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/HammerHeadFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: HammerHead stored a direct reference to the"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/LessonDataSource.java,22.0,LessonDataSource,exact,verified,needs_review,needs-review,True,True,1,src/test/java/org/owasp/webgoat/container/LessonDataSourceFsmProofTest.java,Fix EI_EXPOSE_REP2 by capturing DataSource connection at construction,"CONFIRMED by execution, but the RESULT IS NOT TRUSTWORTHY AS IT STANDS and a human must look before anything is proposed. JUnit test `src/test/java/org/owasp/webgoat/container/LessonDataSourceFsmProofTest.java` on JDK 25 flipped red to green, however: ⚠ FIX SKEPTIC (regression-risk): Caching a singl"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/LessonResourceScanner.java,23.0,LessonResourceScanner,no-method,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/LessonResourceScannerFsmProofTest.java,Prevent external modification of LessonResourceScanner internal state,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/LessonResourceScannerFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: Lombok's @Getter annotation gene"
Major,DEREF_AFTER_NULL,org/owasp/webgoat/container/LessonTemplateResolver.java,61.0,LessonTemplateResolver,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/LessonTemplateResolverFsmProofTest.java,Fix NPE in LessonTemplateResolver when resource is not found,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/LessonTemplateResolverFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: resourceLoader.getResource() ca"
Minor,FB.NP_NULL_PARAM_DEREF,org/owasp/webgoat/container/LessonTemplateResolver.java,61.0,LessonTemplateResolver,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/LessonTemplateResolverFsmProofTest.java,Fix NPE when ResourceLoader returns null in LessonTemplateResolver,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/LessonTemplateResolverFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: resourceLoader.getResource() ca"
